Year,Quarter,Region,Age,Gender,Employment rate of people with mental illness,Employment rate of population ,
2014,1,England,30 to 34,Any,47.80%,81.90%,
2014,1,England,35 to 39,Any,43.70%,81.80%,
2014,1,England,40 to 44,Any,43.80%,83.10%,
2014,1,England,45 to 49,Any,44.10%,83.50%,
2014,1,England,50 to 54,Any,34.90%,81.60%,
2014,1,England,55 to 59,Any,29.90%,72.70%,
2014,1,England,60 to 64,Any,18.50%,48.70%,
2006,4,England,All,Any,26.90%,73%,
2006,3,England,All,Any,28.50%,73.30%,
2007,4,England,All,Any,27.40%,73.30%,
2007,3,England,All,Any,27.50%,73.10%,
2007,2,England,All,Any,26.70%,72.40%,
2007,1,England,All,Any,26.60%,72.30%,
2008,4,England,All,Any,27.50%,72.60%,
2008,3,England,All,Any,28.30%,72.90%,
2008,2,England,All,Any,27.90%,72.80%,
2008,1,England,All,Any,28.10%,73%,
2009,4,England,All,Any,28.10%,71.10%,
2009,3,England,All,Any,27.50%,71.20%,
2009,2,England,All,Any,27.80%,70.90%,
2009,1,England,All,Any,28.60%,71.70%,
2010,4,England,All,Any,28.70%,71%,
2010,3,England,All,Any,29.60%,71.40%,
2010,2,England,All,Any,29.70%,70.60%,
2010,1,England,All,Any,30.20%,70.40%,
2011,4,England,All,Any,30.20%,70.70%,
2011,3,England,All,Any,29%,70.70%,
2011,2,England,All,Any,27.40%,70.50%,
2011,1,England,All,Any,28.10%,70.60%,
2012,4,England,All,Any,33.30%,72.10%,
2012,3,England,All,Any,32.60%,71.90%,
2012,2,England,All,Any,31.20%,71.10%,
2012,1,England,All,Any,29.70%,70.60%,
2013,4,England,All,Any,35.60%,72.60%,
2013,3,England,All,Any,35.10%,72.20%,
2013,2,England,All,Any,33.30%,71.50%,
2013,1,England,All,Any,32.40%,71.30%,
2014,1,England,All,Any,36.10%,72.70%,
2007,4,England,All,Female,26.30%,67.10%,
2007,4,England,All,Male,28.80%,79.60%,
2007,3,England,All,Female,27.50%,66.80%,
2007,3,England,All,Male,27.60%,79.40%,
2007,2,England,All,Female,27.20%,66.20%,
2007,2,England,All,Male,26%,78.70%,
2007,1,England,All,Female,26.10%,66.20%,
2007,1,England,All,Male,27.20%,78.50%,
2008,4,England,All,Female,27.20%,66.70%,
2008,4,England,All,Male,28%,78.60%,
2008,3,England,All,Female,28.20%,66.80%,
2008,3,England,All,Male,28.40%,79%,
2008,2,England,All,Female,28.20%,66.80%,
2008,2,England,All,Male,27.40%,78.80%,
2008,1,England,All,Female,26.90%,66.90%,
2008,1,England,All,Male,29.30%,79%,
2009,4,England,All,Female,28.80%,66.20%,
2009,4,England,All,Male,27.30%,76%,
2009,3,England,All,Female,28.20%,66.20%,
2009,3,England,All,Male,26.60%,76.20%,
2009,2,England,All,Female,28.80%,65.70%,
2009,2,England,All,Male,26.70%,76.10%,
2009,1,England,All,Female,28.30%,66.10%,
2009,1,England,All,Male,29%,77.30%,
2010,4,England,All,Female,30.10%,65.40%,
2010,4,England,All,Male,26.90%,76.50%,
2010,3,England,All,Female,30.30%,65.90%,
2010,3,England,All,Male,28.90%,77%,
2010,2,England,All,Female,30.90%,65.50%,
2010,2,England,All,Male,28.30%,75.80%,
2010,1,England,All,Female,30.90%,65.60%,
2010,1,England,All,Male,29.20%,75.20%,
2011,4,England,All,Female,32.40%,65.60%,
2011,4,England,All,Male,27.60%,75.90%,
2011,3,England,All,Female,31.70%,65.40%,
2011,3,England,All,Male,25.60%,76%,
2011,2,England,All,Female,29.30%,65.10%,
2011,2,England,All,Male,25.20%,75.90%,
2011,1,England,All,Female,30.30%,65.40%,
2011,1,England,All,Male,25.40%,75.90%,
2012,4,England,All,Female,34.30%,66.90%,
2012,4,England,All,Male,32.10%,77.30%,
2012,3,England,All,Female,32.50%,66.50%,
2012,3,England,All,Male,32.80%,77.30%,
2012,2,England,All,Female,31.10%,65.70%,
2012,2,England,All,Male,31.40%,76.50%,
2012,1,England,All,Female,31.20%,65.50%,
2012,1,England,All,Male,27.80%,75.70%,
2013,4,England,All,Female,37%,67.30%,
2013,4,England,All,Male,33.80%,77.90%,
2013,3,England,All,Female,35.60%,66.80%,
2013,3,England,All,Male,34.60%,77.60%,
2013,2,England,All,Female,34.70%,66.60%,
2013,2,England,All,Male,31.50%,76.40%,
2013,1,England,All,Female,34.80%,66.50%,
2013,1,England,All,Male,29.30%,76.20%,
2014,1,England,All,Female,37.10%,67.60%,
2014,1,England,All,Male,34.80%,77.80%,
2006,4,East Midlands ,All,Any,30.80%,74.70%,
2006,4,Eastern ,All,Any,30.70%,75.50%,
2006,4,London ,All,Any,25.90%,68.90%,
2006,4,Merseyside ,All,Any,13.30%,68%,
2006,4,North East ,All,Any,18.10%,69%,
2006,4,North West ,All,Any,20.90%,72.20%,
2006,4,South East ,All,Any,36.60%,77.10%,
2006,4,South West ,All,Any,33%,76.20%,
2006,4,West Midlands ,All,Any,23.60%,71.20%,
2006,4,Yorkshire & Humberside ,All,Any,23.80%,72%,
2006,3,East Midlands ,All,Any,29.20%,75.50%,
2006,3,Eastern ,All,Any,31.70%,75.80%,
2006,3,London ,All,Any,25.40%,68.80%,
2006,3,Merseyside ,All,Any,13.30%,66.70%,
2006,3,North East ,All,Any,25%,69%,
2006,3,North West ,All,Any,22.90%,73%,
2006,3,South East ,All,Any,38.20%,77.30%,
2006,3,South West ,All,Any,34.70%,76.30%,
2006,3,West Midlands ,All,Any,26.30%,72.10%,
2006,3,Yorkshire & Humberside ,All,Any,26.50%,71.90%,
2007,4,East Midlands ,All,Any,28.80%,73.70%,
2007,4,Eastern ,All,Any,30.40%,76.30%,
2007,4,London ,All,Any,21.70%,69.30%,
2007,4,Merseyside ,All,Any,16.90%,65.50%,
2007,4,North East ,All,Any,18.90%,69.90%,
2007,4,North West ,All,Any,24.80%,72.50%,
2007,4,South East ,All,Any,41.60%,77.40%,
2007,4,South West ,All,Any,31.70%,77.20%,
2007,4,West Midlands ,All,Any,22.70%,71.70%,
2007,4,Yorkshire & Humberside ,All,Any,23.60%,72.10%,
2007,3,East Midlands ,All,Any,27.10%,74%,
2007,3,Eastern ,All,Any,31.40%,75.40%,
2007,3,London ,All,Any,20.40%,69.80%,
2007,3,Merseyside ,All,Any,19.30%,63.80%,
2007,3,North East ,All,Any,21.20%,70%,
2007,3,North West ,All,Any,24.60%,72%,
2007,3,South East ,All,Any,42.60%,77.40%,
2007,3,South West ,All,Any,30.60%,76.60%,
2007,3,West Midlands ,All,Any,23.60%,71.30%,
2007,3,Yorkshire & Humberside ,All,Any,24%,71.70%,
2007,2,East Midlands ,All,Any,26.60%,73.10%,
2007,2,Eastern ,All,Any,31.10%,75%,
2007,2,London ,All,Any,21.60%,68.90%,
2007,2,Merseyside ,All,Any,9.70%,66.40%,
2007,2,North East ,All,Any,18.20%,69.40%,
2007,2,North West ,All,Any,20.90%,71.60%,
2007,2,South East ,All,Any,38.60%,76.70%,
2007,2,South West ,All,Any,35.80%,75.60%,
2007,2,West Midlands ,All,Any,26.30%,70.50%,
2007,2,Yorkshire & Humberside ,All,Any,21.90%,70.80%,
2007,1,East Midlands ,All,Any,27.20%,73.50%,
2007,1,Eastern ,All,Any,33.50%,75.30%,
2007,1,London ,All,Any,24.40%,69.20%,
2007,1,Merseyside ,All,Any,18%,67%,
2007,1,North East ,All,Any,15.90%,68.90%,
2007,1,North West ,All,Any,20.60%,71.20%,
2007,1,South East ,All,Any,34.30%,76.10%,
2007,1,South West ,All,Any,35.60%,75.60%,
2007,1,West Midlands ,All,Any,26%,70.30%,
2007,1,Yorkshire & Humberside ,All,Any,21.30%,70.40%,
2008,4,East Midlands ,All,Any,33.30%,74.20%,
2008,4,Eastern ,All,Any,31.40%,75.80%,
2008,4,London ,All,Any,23.70%,70.40%,
2008,4,Merseyside ,All,Any,19.40%,64.90%,
2008,4,North East ,All,Any,19.90%,68.30%,
2008,4,North West ,All,Any,23.40%,70.60%,
2008,4,South East ,All,Any,34.30%,76.70%,
2008,4,South West ,All,Any,32%,76.10%,
2008,4,West Midlands ,All,Any,24.60%,70%,
2008,4,Yorkshire & Humberside ,All,Any,27.40%,70.60%,
2008,3,East Midlands ,All,Any,32.40%,74.20%,
2008,3,Eastern ,All,Any,32.90%,75.50%,
2008,3,London ,All,Any,20.20%,70.10%,
2008,3,Merseyside ,All,Any,16.80%,64.70%,
2008,3,North East ,All,Any,22.30%,68.50%,
2008,3,North West ,All,Any,22.90%,71%,
2008,3,South East ,All,Any,36.80%,77.40%,
2008,3,South West ,All,Any,36.90%,76.90%,
2008,3,West Midlands ,All,Any,25.60%,70.10%,
2008,3,Yorkshire & Humberside ,All,Any,27.90%,71.90%,
2008,2,East Midlands ,All,Any,30.50%,72.80%,
2008,2,Eastern ,All,Any,30.50%,75.40%,
2008,2,London ,All,Any,18%,70.70%,
2008,2,Merseyside ,All,Any,17.20%,64.40%,
2008,2,North East ,All,Any,19.30%,68.10%,
2008,2,North West ,All,Any,22.70%,71.30%,
2008,2,South East ,All,Any,40.90%,77.50%,
2008,2,South West ,All,Any,33.80%,76.20%,
2008,2,West Midlands ,All,Any,27%,70.40%,
2008,2,Yorkshire & Humberside ,All,Any,27.10%,71.10%,
2008,1,East Midlands ,All,Any,32.20%,73.80%,
2008,1,Eastern ,All,Any,30.60%,75.50%,
2008,1,London ,All,Any,22.10%,70.40%,
2008,1,Merseyside ,All,Any,14.40%,63.20%,
2008,1,North East ,All,Any,19.80%,68.20%,
2008,1,North West ,All,Any,24%,71.50%,
2008,1,South East ,All,Any,41.30%,77.20%,
2008,1,South West ,All,Any,32.40%,76.40%,
2008,1,West Midlands ,All,Any,25.70%,71.20%,
2008,1,Yorkshire & Humberside ,All,Any,24.20%,71.60%,
2009,4,East Midlands ,All,Any,32.90%,72.60%,
2009,4,Eastern ,All,Any,31.50%,74.10%,
2009,4,London ,All,Any,27.10%,68.20%,
2009,4,Merseyside ,All,Any,18%,64.10%,
2009,4,North East ,All,Any,25.40%,67.30%,
2009,4,North West ,All,Any,22%,69.60%,
2009,4,South East ,All,Any,37.50%,75.30%,
2009,4,South West ,All,Any,28%,73.50%,
2009,4,West Midlands ,All,Any,26.30%,69.20%,
2009,4,Yorkshire & Humberside ,All,Any,25.70%,69.10%,
2009,3,East Midlands ,All,Any,29.10%,73.20%,
2009,3,Eastern ,All,Any,33.20%,75.10%,
2009,3,London ,All,Any,23.60%,68.10%,
2009,3,Merseyside ,All,Any,14.10%,65%,
2009,3,North East ,All,Any,22.90%,66.30%,
2009,3,North West ,All,Any,22.10%,69.70%,
2009,3,South East ,All,Any,34.50%,75.30%,
2009,3,South West ,All,Any,33.10%,73.80%,
2009,3,West Midlands ,All,Any,29.80%,68.40%,
2009,3,Yorkshire & Humberside ,All,Any,24.50%,69.70%,
2009,2,East Midlands ,All,Any,27.20%,72.40%,
2009,2,Eastern ,All,Any,32.60%,74.70%,
2009,2,London ,All,Any,22.70%,67.90%,
2009,2,Merseyside ,All,Any,16.30%,66.90%,
2009,2,North East ,All,Any,24.80%,64.70%,
2009,2,North West ,All,Any,23.90%,69.50%,
2009,2,South East ,All,Any,37.20%,75.20%,
2009,2,South West ,All,Any,30.40%,74%,
2009,2,West Midlands ,All,Any,28.80%,68.10%,
2009,2,Yorkshire & Humberside ,All,Any,26.30%,68.70%,
2009,1,East Midlands ,All,Any,32.10%,72.90%,
2009,1,Eastern ,All,Any,33.80%,75.50%,
2009,1,London ,All,Any,23.20%,69.40%,
2009,1,Merseyside ,All,Any,17.20%,65.60%,
2009,1,North East ,All,Any,24.80%,67.30%,
2009,1,North West ,All,Any,22.80%,70.20%,
2009,1,South East ,All,Any,34.30%,75.70%,
2009,1,South West ,All,Any,35.80%,75.40%,
